host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
100%,t,2,28805,Entire home/apt,1,4,2,Real Bed,175.00,250.00,75.00,1.00,0.00,2,19,141,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.07
N/A,t,1,28801,Entire home/apt,1,2,1,Real Bed,110.00,300.00,40.00,1.00,0.00,2,10,137,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.6
100%,t,2,28803,Private room,1,2,1,Real Bed,70.00,100.00,20.00,1.00,15.00,2,2,114,98.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.62
100%,f,1,28801,Entire home/apt,1,2,1,Real Bed,150.00,100.00,75.00,1.00,0.00,2,17,31,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.04
100%,t,1,28805,Entire home/apt,2,6,3,Real Bed,139.00,400.00,100.00,6.00,0.00,4,3,56,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.94
N/A,t,1,28804,Entire home/apt,1,5,3,Real Bed,109.00,250.00,35.00,4.00,25.00,2,22,32,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.26
100%,t,1,28803,Private room,1.5,4,2,Real Bed,130.00,,,2.00,20.00,2,20,69,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.19
100%,f,1,28806,Entire home/apt,1,5,3,Real Bed,75.00,150.00,50.00,2.00,25.00,2,10,122,92.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.96
N/A,t,1,28803,Private room,1,2,1,Real Bed,76.00,0.00,25.00,1.00,0.00,2,18,56,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.77
100%,t,5,28804,Entire home/apt,4.5,12,9,Real Bed,630.00,0.00,250.00,1.00,0.00,3,16,33,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.14
N/A,t,1,28801,Entire home/apt,1,2,1,Real Bed,113.00,0.00,30.00,2.00,50.00,2,9,119,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.93
100%,t,4,28805,Entire home/apt,2.5,6,4,Real Bed,149.00,500.00,125.00,6.00,20.00,4,21,39,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.24
N/A,f,2,28805,Entire home/apt,1,4,2,Real Bed,125.00,250.00,75.00,3.00,0.00,2,18,35,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.22
N/A,t,1,28801,Entire home/apt,2,5,3,Real Bed,158.00,,80.00,4.00,20.00,3,0,102,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.48
100%,f,4,28704,Entire home/apt,1,3,1,Real Bed,50.00,,5.00,3.00,10.00,1,9,188,96.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,5.94
100%,f,2,28803,Entire home/apt,1,6,4,Real Bed,149.00,100.00,75.00,6.00,0.00,1,16,88,95.00,10.00,9.00,10.00,10.00,9.00,9.00,moderate,2.8
N/A,f,1,,Entire home/apt,1,4,2,Real Bed,86.00,250.00,45.00,2.00,25.00,2,12,119,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.77
N/A,f,1,28806,Entire home/apt,1,3,1,Real Bed,92.00,,25.00,1.00,0.00,2,5,34,94.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,1.09
N/A,t,1,28806,Entire home/apt,1,4,2,Real Bed,99.00,250.00,50.00,2.00,10.00,2,11,61,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.15
N/A,f,1,28804,Private room,1,2,1,Real Bed,40.00,,,1.00,0.00,1,0,0,,,,,,,,flexible,
N/A,f,1,28801,Entire home/apt,1,2,3,Real Bed,170.00,1000.00,100.00,2.00,0.00,30,14,84,98.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,2.72
100%,t,1,28804,Entire home/apt,1,4,2,Real Bed,95.00,200.00,65.00,1.00,0.00,2,20,91,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.4
100%,t,3,28806,Entire home/apt,2,6,3,Real Bed,100.00,125.00,35.00,6.00,0.00,1,3,74,98.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,2.38
100%,t,2,28803,Private room,1,2,2,Real Bed,64.00,100.00,20.00,1.00,15.00,2,3,121,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.86
100%,f,10,28806,Entire home/apt,4,16,7,Real Bed,249.00,250.00,94.00,2.00,30.00,1,16,280,94.00,10.00,9.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,8.93
100%,t,1,28801,Entire home/apt,1,3,2,Real Bed,125.00,100.00,35.00,2.00,25.00,2,5,52,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.8
100%,t,2,28803,Entire home/apt,1,2,1,Real Bed,109.00,,50.00,1.00,0.00,2,14,26,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.84
N/A,f,1,28806,Private room,1,4,2,Real Bed,150.00,300.00,50.00,2.00,50.00,1,0,47,93.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.6
N/A,t,1,28803,Entire home/apt,1,4,2,Real Bed,105.00,300.00,30.00,4.00,25.00,2,7,129,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.74
N/A,f,2,28803,Entire home/apt,1,3,1,Real Bed,80.00,,20.00,1.00,0.00,1,0,6,100.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,0.19
N/A,f,4,28801,Entire home/apt,1,2,2,Real Bed,125.00,,,1.00,0.00,30,3,1,100.00,10.00,10.00,10.00,8.00,10.00,10.00,flexible,0.03
N/A,t,1,28801,Entire home/apt,1,3,2,Real Bed,99.00,100.00,30.00,1.00,0.00,2,11,156,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.22
N/A,f,2,28803,Private room,1,2,1,Real Bed,44.00,,,1.00,0.00,1,0,0,,,,,,,,flexible,
100%,t,2,28806,Entire home/apt,1,4,2,Real Bed,124.00,250.00,65.00,4.00,20.00,2,20,75,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,2.58
N/A,f,2,28704,Private room,1,2,1,Real Bed,69.00,,15.00,1.00,0.00,2,0,0,,,,,,,,moderate,
100%,t,2,28801,Entire home/apt,1,2,1,Real Bed,95.00,200.00,20.00,2.00,25.00,1,3,371,96.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,23.99
N/A,t,2,28803,Entire home/apt,1,4,2,Real Bed,125.00,200.00,45.00,2.00,0.00,2,14,71,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.35
N/A,f,4,28801,Entire home/apt,1,3,2,Real Bed,125.00,,,1.00,0.00,30,0,26,96.00,10.00,9.00,10.00,10.00,10.00,9.00,flexible,0.85
100%,t,1,28804,Entire home/apt,2,6,3,Real Bed,290.00,,150.00,6.00,0.00,2,9,86,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.3
100%,t,3,28801,Entire home/apt,2,5,2,Real Bed,205.00,1500.00,40.00,2.00,25.00,2,15,100,98.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.26
N/A,t,2,28801,Private room,1,1,1,Real Bed,61.00,100.00,25.00,1.00,100.00,1,9,84,97.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,3.15
67%,f,2,28804,Entire home/apt,2,4,2,Real Bed,235.00,350.00,125.00,4.00,50.00,3,7,16,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,0.55
100%,t,1,,Private room,1,2,1,Futon,46.00,,20.00,1.00,9.00,1,17,80,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.98
N/A,f,7,28806,Shared room,2.5,1,1,Real Bed,27.00,0.00,0.00,1.00,27.00,1,19,47,93.00,10.00,9.00,9.00,9.00,10.00,9.00,moderate,1.53
85%,t,3,28803,Private room,1,6,3,Real Bed,75.00,,30.00,1.00,10.00,2,19,100,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.28
N/A,f,1,28801,Entire home/apt,2.5,6,5,Real Bed,110.00,500.00,175.00,1.00,0.00,30,28,2,100.00,10.00,10.00,10.00,10.00,8.00,10.00,moderate,0.09
100%,t,1,28806,Entire home/apt,2,8,4,Real Bed,325.00,500.00,125.00,1.00,0.00,3,15,51,98.00,10.00,10.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,1.83
100%,t,2,28805,Entire home/apt,2,4,2,Real Bed,199.00,200.00,69.00,2.00,0.00,1,3,38,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.62
100%,f,1,28805,Entire home/apt,3,6,3,Real Bed,425.00,500.00,175.00,6.00,25.00,1,16,40,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.38
100%,t,1,28806,Entire home/apt,1,4,2,Real Bed,100.00,150.00,50.00,2.00,15.00,1,6,197,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,6.79
80%,f,2,28801,Entire home/apt,2.5,6,2,Real Bed,375.00,1000.00,175.00,6.00,50.00,2,7,28,100.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.1
100%,t,4,28805,Private room,1,2,1,Real Bed,85.00,0.00,15.00,1.00,0.00,1,0,54,92.00,9.00,9.00,10.00,10.00,9.00,9.00,flexible,1.86
100%,t,1,28806,Entire home/apt,1,4,2,Real Bed,125.00,250.00,50.00,4.00,20.00,3,16,132,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.4
100%,t,3,28806,Private room,1,4,2,Real Bed,147.00,0.00,25.00,3.00,20.00,30,30,16,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.55
100%,t,1,28803,Entire home/apt,1,5,2,Real Bed,175.00,200.00,80.00,1.00,0.00,2,25,27,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.93
100%,t,2,28803,Entire home/apt,2,10,7,Real Bed,80.00,100.00,95.00,8.00,10.00,2,14,238,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.87
100%,t,3,28806,Private room,1,2,1,Real Bed,49.00,0.00,7.00,2.00,0.00,1,13,287,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,9.63
100%,t,3,28806,Private room,1,5,4,Real Bed,89.00,0.00,12.00,5.00,10.00,1,13,139,96.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,4.67
100%,t,3,28806,Private room,1,3,3,Real Bed,49.00,0.00,7.00,3.00,0.00,1,17,234,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,7.87
100%,t,2,28801,Private room,1,2,1,Real Bed,67.00,100.00,40.00,1.00,0.00,2,21,64,94.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.6
N/A,f,1,28805,Entire home/apt,2,6,4,Real Bed,225.00,,100.00,1.00,0.00,3,0,2,80.00,8.00,10.00,10.00,10.00,10.00,8.00,flexible,0.08
N/A,f,4,28801,Entire home/apt,1,3,2,Real Bed,125.00,,,1.00,0.00,30,0,21,96.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,0.7
N/A,f,1,28804,Private room,1,2,1,Real Bed,40.00,0.00,0.00,1.00,0.00,30,27,47,84.00,9.00,8.00,10.00,9.00,9.00,9.00,moderate,1.57
100%,f,2,28715,Entire home/apt,1,7,4,Real Bed,110.00,0.00,40.00,1.00,0.00,1,16,247,95.00,10.00,9.00,10.00,10.00,9.00,9.00,strict_14_with_grace_period,8.67
100%,t,1,28803,Entire home/apt,1,4,1,Real Bed,100.00,,20.00,1.00,0.00,1,21,85,96.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.98
100%,t,1,28806,Private room,1,2,1,Real Bed,60.00,0.00,10.00,1.00,5.00,1,0,53,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.47
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,66.00,300.00,50.00,2.00,15.00,1,14,87,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.07
N/A,t,1,28805,Entire home/apt,1,4,2,Real Bed,148.00,0.00,0.00,4.00,20.00,2,0,45,96.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.53
N/A,f,1,28806,Entire home/apt,2,8,4,Real Bed,142.00,1000.00,115.00,1.00,0.00,30,0,2,100.00,10.00,8.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,0.07
100%,t,1,28801,Entire home/apt,1,2,1,Real Bed,130.00,300.00,50.00,1.00,0.00,3,5,94,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.34
100%,f,1,28801,Entire home/apt,1,2,1,Real Bed,89.00,0.00,30.00,1.00,0.00,2,12,94,95.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,3.22
100%,t,1,28732,Entire home/apt,1.5,4,2,Real Bed,90.00,0.00,0.00,2.00,20.00,2,17,86,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.51
N/A,t,2,28803,Entire home/apt,1,4,2,Real Bed,125.00,200.00,60.00,2.00,10.00,2,15,116,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4
100%,t,1,28806,Entire home/apt,1,3,2,Real Bed,88.00,250.00,40.00,2.00,15.00,1,16,108,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.05
100%,t,1,28704,Entire home/apt,2,4,2,Real Bed,135.00,125.00,25.00,2.00,15.00,2,2,46,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.75
100%,t,2,28805,Entire home/apt,1,2,1,Real Bed,69.00,300.00,80.00,2.00,0.00,2,13,119,95.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.05
100%,t,1,28805,Entire home/apt,1,2,1,Real Bed,115.00,100.00,35.00,2.00,0.00,2,3,208,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.14
N/A,t,1,28806,Entire home/apt,1,4,3,Real Bed,82.00,100.00,30.00,2.00,10.00,1,14,123,98.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,4.24
N/A,f,1,28804,Entire home/apt,2.5,6,3,Real Bed,450.00,500.00,150.00,6.00,35.00,2,25,75,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.57
N/A,f,7,28806,Shared room,2.5,1,1,Real Bed,27.00,0.00,0.00,1.00,27.00,1,17,42,93.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,1.42
80%,f,2,28732,Entire home/apt,4.5,16,12,Real Bed,775.00,1000.00,425.00,1.00,0.00,2,20,16,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.68
100%,t,1,28801,Entire home/apt,1,4,2,Real Bed,175.00,100.00,75.00,1.00,0.00,2,16,87,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.1
N/A,f,1,28806,Entire home/apt,1.5,6,2,Real Bed,119.00,100.00,69.00,3.00,10.00,2,22,33,86.00,10.00,10.00,10.00,10.00,9.00,9.00,moderate,1.13
100%,t,1,,Entire home/apt,1,2,1,Real Bed,129.00,150.00,50.00,1.00,0.00,2,17,25,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.52
N/A,f,1,28704,Private room,1,1,1,Real Bed,"1,850.00",,,1.00,0.00,20,23,0,,,,,,,,flexible,
N/A,t,2,28806,Private room,1,6,2,Real Bed,240.00,200.00,0.00,4.00,10.00,2,0,10,98.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,0.44
N/A,t,3,28801,Entire home/apt,1,4,2,Real Bed,129.00,200.00,55.00,2.00,10.00,1,11,200,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,7.18
100%,t,1,28805,Entire home/apt,1,2,1,Real Bed,109.00,300.00,30.00,1.00,0.00,2,12,35,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,1.26
N/A,t,3,28803,Private room,1,4,2,Real Bed,92.00,100.00,35.00,2.00,34.00,2,11,164,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,7.28
100%,t,2,28804,Entire home/apt,1,2,1,Real Bed,145.00,,35.00,1.00,0.00,2,21,81,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.86
N/A,t,2,28803,Entire home/apt,2,7,4,Real Bed,199.00,250.00,130.00,1.00,0.00,3,12,81,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.05
N/A,f,1,28732,Entire home/apt,2,6,4,Real Bed,112.00,,25.00,1.00,0.00,1,0,13,94.00,10.00,9.00,10.00,10.00,10.00,10.00,flexible,0.46
100%,t,2,28806,Entire home/apt,1,4,2,Real Bed,81.00,0.00,50.00,2.00,10.00,2,19,139,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.15
100%,t,1,28806,Entire home/apt,1,3,1,Real Bed,95.00,0.00,15.00,2.00,25.00,2,14,77,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.54
N/A,t,1,,Entire home/apt,2,4,2,Real Bed,110.00,500.00,50.00,2.00,10.00,2,14,135,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.69
100%,t,3,28801,Entire home/apt,1.5,4,2,Real Bed,190.00,500.00,70.00,1.00,0.00,30,18,92,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.17
N/A,t,1,28806,Entire home/apt,1,2,1,Real Bed,170.00,500.00,50.00,1.00,0.00,2,0,45,99.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,1.58
100%,t,2,28803,Private room,1,2,1,Real Bed,135.00,,20.00,1.00,0.00,2,27,20,95.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,0.69
100%,t,3,28801,Entire home/apt,1,4,1,Real Bed,172.00,250.00,89.00,2.00,30.00,1,9,199,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,7.07
100%,t,1,28806,Private room,1,2,1,Real Bed,60.00,100.00,10.00,1.00,0.00,2,25,77,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.1
100%,f,2,28801,Private room,1,2,1,Real Bed,55.00,,15.00,1.00,0.00,1,14,164,95.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,5.65
100%,t,1,28804,Private room,1,1,1,Real Bed,52.00,100.00,15.00,1.00,10.00,1,16,51,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.79
100%,f,2,28806,Private room,1,2,1,Real Bed,80.00,200.00,10.00,1.00,5.00,2,3,15,95.00,10.00,10.00,10.00,9.00,10.00,9.00,moderate,0.52
N/A,f,1,28803,Entire home/apt,1,4,2,Real Bed,125.00,125.00,49.00,4.00,20.00,2,0,23,97.00,10.00,9.00,10.00,10.00,10.00,10.00,moderate,0.82
N/A,t,1,28803,Entire home/apt,2,6,3,Real Bed,300.00,100.00,115.00,6.00,25.00,2,13,24,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.94
N/A,f,1,28704,Entire home/apt,1,6,2,Real Bed,150.00,0.00,100.00,4.00,10.00,2,0,2,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.08
100%,f,1,28806,Private room,1,3,2,Real Bed,55.00,0.00,40.00,2.00,0.00,2,7,29,97.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.08
100%,f,2,28801,Private room,1,2,1,Real Bed,55.00,,15.00,1.00,0.00,1,16,148,95.00,10.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,5.1
N/A,t,10,28805,Entire home/apt,1,2,1,Real Bed,59.00,100.00,50.00,1.00,0.00,1,12,176,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,6.32
100%,f,1,28803,Entire home/apt,1,2,1,Real Bed,75.00,0.00,50.00,1.00,0.00,2,21,122,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.33
100%,t,1,28801,Entire home/apt,1,2,1,Real Bed,145.00,200.00,35.00,1.00,0.00,2,16,94,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,3.84
100%,t,2,28803,Private room,1,2,1,Real Bed,80.00,100.00,20.00,2.00,20.00,1,11,103,100.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,3.58
83%,f,1,28806,Entire home/apt,2,6,2,Real Bed,150.00,150.00,50.00,1.00,0.00,3,0,60,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.12
N/A,t,2,28704,Entire home/apt,1,6,3,Real Bed,155.00,400.00,75.00,4.00,25.00,2,19,64,99.00,10.00,10.00,10.00,10.00,9.00,10.00,moderate,2.42
100%,t,2,28806,Entire home/apt,1,4,1,Real Bed,69.00,250.00,75.00,2.00,20.00,2,9,82,96.00,10.00,10.00,10.00,10.00,10.00,9.00,moderate,2.95
100%,t,3,28806,Entire home/apt,1,3,1,Real Bed,91.00,200.00,50.00,3.00,25.00,3,14,69,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.48
100%,t,1,28806,Entire home/apt,1,2,1,Real Bed,85.00,100.00,20.00,1.00,0.00,1,12,121,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.3
N/A,t,2,28806,Private room,1,3,1,Real Bed,60.00,200.00,25.00,2.00,45.00,2,26,52,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.91
100%,f,1,28804,Entire home/apt,1,4,2,Real Bed,130.00,100.00,50.00,2.00,25.00,2,24,43,95.00,10.00,9.00,10.00,10.00,10.00,9.00,moderate,1.54
100%,t,2,28806,Entire home/apt,2,6,2,Real Bed,120.00,250.00,90.00,4.00,20.00,2,13,95,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.41
N/A,t,2,28806,Private room,1,3,1,Real Bed,60.00,200.00,25.00,2.00,45.00,2,28,60,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.12
100%,t,2,28806,Entire home/apt,1,4,2,Real Bed,75.00,0.00,35.00,2.00,10.00,2,9,150,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,5.62
100%,t,2,28805,Entire home/apt,1,2,1,Real Bed,98.00,150.00,30.00,1.00,0.00,2,16,127,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.56
N/A,f,1,28803,Entire home/apt,1,2,1,Real Bed,70.00,300.00,25.00,1.00,0.00,30,2,100,91.00,9.00,9.00,10.00,10.00,10.00,10.00,moderate,3.56
100%,t,4,28801,Entire home/apt,1,4,2,Real Bed,219.00,200.00,111.00,1.00,0.00,3,24,26,94.00,10.00,10.00,10.00,10.00,8.00,9.00,super_strict_30,0.93
N/A,t,1,28801,Entire home/apt,1,2,1,Futon,125.00,,30.00,1.00,0.00,2,0,31,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.09
100%,f,1,28704,Entire home/apt,1.5,4,2,Real Bed,160.00,200.00,80.00,1.00,0.00,3,18,14,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.5
100%,t,2,28801,Entire home/apt,1.5,6,3,Real Bed,95.00,0.00,55.00,2.00,35.00,1,18,67,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.06
N/A,f,1,28704,Entire home/apt,2,4,2,Real Bed,225.00,200.00,35.00,1.00,0.00,2,0,0,,,,,,,,flexible,
N/A,f,1,,Entire home/apt,1,4,2,Real Bed,119.00,,25.00,2.00,30.00,2,0,35,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,1.24
100%,t,1,28804,Entire home/apt,1,3,2,Real Bed,115.00,100.00,20.00,2.00,15.00,1,6,49,99.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,1.81
N/A,t,1,28704,Private room,1,2,1,Real Bed,70.00,,25.00,1.00,0.00,2,17,70,100.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.53
100%,t,4,28801,Entire home/apt,1,4,2,Real Bed,219.00,200.00,111.00,1.00,0.00,3,17,16,95.00,9.00,10.00,10.00,10.00,8.00,9.00,super_strict_30,0.6
100%,t,4,28801,Entire home/apt,1,4,2,Real Bed,219.00,200.00,111.00,1.00,0.00,3,16,21,95.00,10.00,10.00,10.00,10.00,9.00,9.00,super_strict_30,0.74
100%,t,1,28801,Entire home/apt,2,4,2,Real Bed,170.00,200.00,85.00,1.00,0.00,2,0,15,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.55
100%,t,1,28801,Entire home/apt,1,2,1,Real Bed,125.00,250.00,50.00,2.00,100.00,2,22,42,93.00,10.00,10.00,9.00,9.00,9.00,9.00,strict_14_with_grace_period,1.51
100%,t,2,28804,Private room,1,2,1,Real Bed,59.00,100.00,20.00,1.00,0.00,1,9,121,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.64
N/A,f,2,28806,Entire home/apt,1,2,1,Real Bed,75.00,200.00,40.00,1.00,0.00,1,7,109,94.00,9.00,10.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,4.12
100%,f,3,,Entire home/apt,1,6,3,Real Bed,144.00,200.00,85.00,4.00,8.00,4,18,44,89.00,9.00,9.00,10.00,10.00,9.00,8.00,strict_14_with_grace_period,1.56
100%,t,1,28801,Private room,1,2,1,Real Bed,61.00,100.00,25.00,1.00,0.00,2,10,123,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,4.38
90%,f,2,28806,Private room,1,2,1,Real Bed,55.00,,15.00,1.00,10.00,1,13,15,99.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,0.54
N/A,t,10,28805,Entire home/apt,1,2,1,Real Bed,59.00,100.00,50.00,1.00,0.00,1,13,175,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,6.54
N/A,t,1,28803,Private room,1,2,1,Real Bed,51.00,,35.00,1.00,0.00,1,7,98,97.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,3.49
N/A,f,1,28806,Entire home/apt,1.5,6,3,Real Bed,350.00,300.00,150.00,6.00,35.00,2,0,0,,,,,,,,flexible,
100%,t,2,28803,Private room,1,2,1,Real Bed,150.00,,20.00,2.00,20.00,2,28,11,91.00,9.00,9.00,10.00,10.00,9.00,9.00,moderate,0.41
100%,f,4,28704,Private room,1,2,1,Real Bed,30.00,,5.00,1.00,0.00,1,18,153,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,5.48
100%,f,1,28806,Entire home/apt,2,8,5,Real Bed,165.00,250.00,110.00,4.00,15.00,2,0,13,98.00,10.00,9.00,10.00,10.00,10.00,10.00,flexible,0.47
40%,f,1,28806,Entire home/apt,2,4,2,Real Bed,150.00,200.00,50.00,4.00,50.00,2,27,14,93.00,10.00,9.00,10.00,10.00,10.00,9.00,strict_14_with_grace_period,0.5
100%,t,1,28804,Entire home/apt,1,2,1,Futon,80.00,0.00,35.00,2.00,10.00,2,6,198,98.00,10.00,10.00,10.00,10.00,10.00,10.00,flexible,7.27
